Title,Awards,Nominations
The Brutalist,2024,3
Emilia Pérez,2024,2
Wicked,2024,2
Dune: Part Two,2024,2
Conclave,2024,1
The Substance,2024,1
I'm Still Here,2024,1
Flow,2024,1
A Real Pain,2024,1
No Other Land,2024,1
I'm Not a Robot,2024,1
In the Shadow of the Cypress,2024,1
The Only Girl in the Orchestra,2024,1
Oppenheimer,2023,7
Poor Things,2023,4
The Zone of Interest,2023,2
American Fiction,2023,1
Anatomy of a Fall,2023,1
Barbie,2023,1
The Boy and the Heron,2023,1
Godzilla Minus One,2023,1
The Holdovers,2023,1
The Last Repair Shop,2023,1
20 Days in Mariupol,2023,1
War Is Over! Inspired by the Music of John and Yoko,2023,1
The Wonderful Story of Henry Sugar,2023,1
Everything Everywhere All at Once,2022,7
All Quiet on the Western Front,2022,4
The Whale,2022,2
Top Gun: Maverick,2022,1
Black Panther: Wakanda Forever,2022,1
Avatar: The Way of Water,2022,1
Women Talking,2022,1
Guillermo del Toro's Pinocchio,2022,1
Navalny,2022,1
The Elephant Whisperers,2022,1
An Irish Goodbye,2022,1
"The Boy, the Mole, the Fox and the Horse",2022,1
RRR,2022,1
CODA,2021,3
Dune,2021,6
The Eyes of Tammy Faye,2021,2
No Time to Die,2021,1
The Windshield Wiper,2021,1
The Long Goodbye,2021,1
The Queen of Basketball,2021,1
Summer of Soul,2021,1
Drive My Car,2021,1
Encanto,2021,1
West Side Story,2021,1
Belfast,2021,1
The Power of the Dog,2021,1
King Richard,2021,1
Cruella,2021,1
Nomadland,2020/21,3
The Father,2020/21,2
Judas and the Black Messiah,2020/21,2
Minari,2020/21,1
Mank,2020/21,2
Sound of Metal,2020/21,2
Ma Rainey's Black Bottom,2020/21,2
Promising Young Woman,2020/21,1
Tenet,2020/21,1
Soul,2020/21,2
Another Round,2020/21,1
My Octopus Teacher,2020/21,1
Colette,2020/21,1
If Anything Happens I Love You,2020/21,1
Two Distant Strangers,2020/21,1
Parasite,2019,4
Ford v Ferrari,2019,2
Learning to Skateboard in a Warzone (If You're a Girl),2019,1
The Neighbors' Window,2019,1
Little Women,2019,1
Marriage Story,2019,1
Jojo Rabbit,2019,1
Toy Story 4,2019,1
Joker,2019,2
Once Upon a Time in Hollywood,2019,2
1917,2019,3
Judy,2019,1
Bombshell,2019,1
Rocketman,2019,1
American Factory,2019,1
Hair Love,2019,1
Green Book,2018,3
Bohemian Rhapsody,2018,4
Roma,2018,3
Black Panther,2018,3
The Favourite,2018,1
A Star Is Born,2018,1
Vice,2018,1
BlacKkKlansman,2018,1
First Man,2018,1
If Beale Street Could Talk,2018,1
Bao,2018,1
Free Solo,2018,1
Period. End of Sentence.,2018,1
Skin,2018,1
Spider-Man: Into the Spider-Verse,2018,1
The Shape of Water,2017,4
Dunkirk,2017,3
"Three Billboards Outside Ebbing, Missouri",2017,2
Darkest Hour,2017,2
Blade Runner 2049,2017,2
Coco,2017,2
Phantom Thread,2017,1
Call Me by Your Name,2017,1
Get Out,2017,1
"I, Tonya",2017,1
Dear Basketball,2017,1
A Fantastic Woman,2017,1
Heaven Is a Traffic Jam on the 405,2017,1
Icarus,2017,1
The Silent Child,2017,1
Flesh and Sand (Carne y arena),2017,0 (1)[1]
Moonlight,2016,3
La La Land,2016,6
Hacksaw Ridge,2016,2
Manchester by the Sea,2016,2
Arrival,2016,1
Fences,2016,1
Fantastic Beasts and Where to Find Them,2016,1
The Jungle Book,2016,1
O.J.: Made in America,2016,1
Piper,2016,1
The Salesman,2016,1
Sing,2016,1
Suicide Squad,2016,1
The White Helmets,2016,1
Zootopia,2016,1
Spotlight,2015,2
Mad Max: Fury Road,2015,6
The Revenant,2015,3
Bridge of Spies,2015,1
The Big Short,2015,1
The Danish Girl,2015,1
Room,2015,1
The Hateful Eight,2015,1
Ex Machina,2015,1
Inside Out,2015,1
Amy,2015,1
Bear Story,2015,1
A Girl in the River: The Price of Forgiveness,2015,1
Son of Saul,2015,1
Spectre,2015,1
Stutterer,2015,1
Birdman or (The Unexpected Virtue of Ignorance),2014,4
The Grand Budapest Hotel,2014,4
Whiplash,2014,3
The Imitation Game,2014,1
American Sniper,2014,1
Boyhood,2014,1
Interstellar,2014,1
The Theory of Everything,2014,1
Ida,2014,1
Selma,2014,1
Citizenfour,2014,1
Big Hero 6,2014,1
Crisis Hotline: Veterans Press 1,2014,1
The Phone Call,2014,1
Still Alice,2014,1
Feast,2014,1
12 Years a Slave,2013,3
Gravity,2013,7
Dallas Buyers Club,2013,3
Frozen,2013,2
The Great Gatsby,2013,2
Her,2013,1
